MM,elevation (ft),grade (%)
62.66,628.7567915,-0.71135816
62.67,628.3923435,-0.66912682
62.68,628.0501936,-0.62689548
62.69,627.7303419,-0.58466414
62.7,627.4327883,-0.5424328
62.71,627.1575329,-0.50020146
62.72,626.9045756,-0.45797012
62.73,626.6739165,-0.41573878
62.74,626.4613282,-0.399496
62.75,626.2503944,-0.399496
62.76,626.0394605,-0.399496
62.77,625.8285266,-0.399496
62.78,625.6175927,-0.399496
62.79,625.4066588,-0.399496
62.8,625.1957249,-0.399496
62.81,624.984791,-0.399496
62.82,624.7738571,-0.399496
62.83,624.5629232,-0.399496
62.84,624.3519893,-0.399496
62.85,624.1410555,-0.399496
62.86,623.9301216,-0.399496
62.87,623.7191877,-0.399496
62.88,623.5082538,-0.399496
62.89,623.2973199,-0.399496
62.9,623.086386,-0.399496
